Date,Close,Open,High,Low,Vol,Change_%,SMA_20,EMA_20,BB_upper_20,BB_lower_20,OBV,MACD_12_26,MACDsign_12_26,MACDdiff_12_26,RSI_14
"Dec 30, 2020",124.34,123.74,124.82,123.63,3380494,0.44,124.84100000000001,123.94551405175392,127.0335798311098,122.64842016889021,-3487007.0,0.865134400069067,1.2270196854297262,-0.3618852853606591,46.736086161372775
"Dec 29, 2020",123.8,125.25,125.48,123.25,3487007,-0.82,124.782,123.90398921509644,127.09171950905869,122.4722804909413,128215.0,0.937666259788557,1.3174910067698908,-0.37982474698133384,46.736086161372775
"Dec 28, 2020",124.82,125.12,126.57,124.46,3615222,0.1,124.768,123.9149354482645,127.10600274638531,122.42999725361469,-1632907.0,1.0715863242336212,1.412447193515224,-0.34086086928160286,48.49361981528248
"Dec 24, 2020",124.69,125.0,125.1,124.21,1761122,0.64,124.74449999999999,123.81966549545024,127.08973907433537,122.3992609256646,-4326796.0,1.123075769045542,1.497662410835625,-0.37458664179008294,44.856412509197355
"Dec 23, 2020",123.9,123.93,125.16,123.89,2693889,0.23,124.72,123.72805133707658,127.07784022493378,122.36215977506622,-8664553.0,1.185695740146656,1.5913090712831457,-0.4056133311364898,45.234449969298026
"Dec 22, 2020",123.61,123.38,124.22,122.41,4337757,0.18,124.74599999999998,123.70995147782149,127.07708422932558,122.41491577067438,-14780224.0,1.328811474313568,1.692712404067268,-0.36390092975370014,47.493050471764384
"Dec 21, 2020",123.39,123.8,123.8,121.74,6115671,-1.95,124.57000000000001,123.72047268601322,127.66769353925756,121.47230646074246,-7227379.0,1.5216782990238755,1.783687636505693,-0.26200933748181754,48.3153719948735
"Dec 18, 2020",125.85,125.59,126.4,124.97,7552845,0.24,124.24749999999999,123.75525928454093,128.8432411635236,119.65175883647638,-11015341.0,1.7681129982137946,1.8491899708761474,-0.08107697266235281,48.91194907064527
"Dec 17, 2020",125.55,126.04,126.04,124.93,3787962,0.0,123.814,123.53476026186102,129.31896579653795,118.30903420346203,-11015341.0,1.8064625524785214,1.8694592140417357,-0.06299666156321426,41.398929385798276
"Dec 16, 2020",125.55,125.97,126.54,125.3,4530096,-0.3,123.375,123.32262976310956,129.64433892259112,117.10566107740888,-6655740.0,1.8596801646130814,1.8852083794325392,-0.025528214819457773,42.10002788973603
"Dec 15, 2020",125.93,124.39,125.93,123.45,4359601,1.94,122.9825,123.08816973817372,129.64884556244235,116.31615443755764,-11705763.0,1.9005552962522785,1.8915904331374036,0.008964863114874877,42.100027889736026
"Dec 14, 2020",123.53,125.32,126.23,123.53,5050023,-0.6,122.604,122.78902971061305,129.42355825085775,115.78444174914223,-7224347.0,1.8863914781444464,1.8893492173586848,-0.002957739214238364,41.00891601549546
